Track Name,Tempo (BPM),Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Valence
Bat Out of Hell,171.514,0.281,0.204,0.837,0.00405,0.291,-7.618,0.392
For Once In My Life,110.121,0.195,0.524,0.519,0.0,0.523,-11.903,0.847
Rebel Rebel - 2016 Remaster,125.988,0.209,0.635,0.686,0.0176,0.282,-15.648,0.464
Let's Stay Together,101.954,0.582,0.756,0.401,0.011,0.0541,-10.702,0.514
What's Going On,201.96,0.447,0.283,0.716,0.0,0.399,-9.632,0.828
Harvest Moon,112.938,0.521,0.645,0.321,0.000186,0.129,-12.15,0.427
God Only Knows - Mono / 1997 Remastered,117.072,0.253,0.521,0.487,0.0,0.0579,-7.525,0.483
1972,81.03,0.32,0.562,0.463,0.0837,0.236,-11.399,0.271
Sir Duke,106.938,0.16,0.588,0.568,0.0,0.0792,-9.766,0.952
Wild World,152.853,0.345,0.48,0.542,0.000609,0.113,-8.51,0.567
I Say a Little Prayer,133.032,0.478,0.592,0.355,0.0,0.0585,-14.051,0.499
Ain't No Sunshine,78.169,0.457,0.527,0.415,1.72e-05,0.117,-11.451,0.515
My Baby Just Cares for Me - 2013 Remastered Version,118.578,0.829,0.746,0.243,1.02e-06,0.0905,-15.134,0.425
Maybe Iâ€™m Amazed - Remastered 2011,79.255,0.387,0.471,0.494,0.0944,0.617,-10.407,0.373
Walk On the Wild Side,104.522,0.683,0.575,0.318,0.000202,0.0934,-16.729,0.385
As,102.376,0.0589,0.467,0.869,0.0,0.244,-10.342,0.684
(Sittin' On) the Dock of the Bay,103.621,0.684,0.769,0.367,1.62e-05,0.081,-11.226,0.535
Northern Sky,90.048,0.552,0.53,0.264,0.694,0.133,-18.16,0.489
This Guy's In Love With You,83.767,0.858,0.635,0.167,0.000999,0.213,-12.998,0.246
Life on Mars? - 2015 Remaster,123.295,0.635,0.445,0.384,7.74e-05,0.0539,-14.642,0.216
It's Too Late,208.282,0.493,0.45,0.442,0.00564,0.134,-12.718,0.812
Tired of Being Alone,97.964,0.339,0.772,0.397,0.00541,0.0753,-8.585,0.617
Romeo And Juliet,87.573,0.546,0.613,0.441,0.0132,0.0869,-11.999,0.525
Wonderful Tonight,95.542,0.649,0.572,0.214,0.129,0.125,-15.625,0.485
"Baby, I Love You",107.779,0.202,0.735,0.653,0.000307,0.0802,-5.533,0.93
Pink Moon,82.344,0.871,0.642,0.427,0.0904,0.124,-8.471,0.404
With A Little Help From My Friends,145.224,0.288,0.307,0.43,0.000994,0.0988,-11.333,0.305
Our House,140.282,0.896,0.592,0.205,5.46e-05,0.119,-14.601,0.378
I Heard It Through The Grapevine,117.287,0.272,0.711,0.362,0.0,0.127,-10.851,0.616
Starman - 2012 Remaster,100.456,0.166,0.486,0.449,2.23e-06,0.54,-10.298,0.549
Everyday People,114.524,0.307,0.807,0.497,0.0327,0.043,-10.656,0.765
Little Wing,70.776,0.181,0.515,0.534,0.00278,0.0547,-8.045,0.426
Ooh La La,147.964,0.579,0.601,0.574,1.14e-05,0.216,-8.166,0.8
Dream A Little Dream Of Me,92.515,0.791,0.413,0.313,1.5e-06,0.0727,-13.138,0.349
One Of These Things First,90.339,0.836,0.604,0.37,0.346,0.0954,-18.45,0.666
Like a Rolling Stone,95.263,0.731,0.482,0.721,0.0,0.189,-6.839,0.557
You Are so Beautiful,118.469,0.797,0.507,0.113,0.000592,0.166,-10.781,0.207
Here Comes The Sun - Remastered 2009,129.171,0.0339,0.557,0.54,0.00248,0.179,-10.484,0.394
Superstition - Single Version,100.499,0.038,0.633,0.634,0.0064,0.0385,-12.115,0.872
Heroes - 2017 Remaster,112.113,0.000678,0.489,0.758,0.49,0.092,-6.491,0.435
Everybody's Talkin',128.331,0.46,0.496,0.368,7.54e-05,0.311,-15.194,0.628
Son Of A Preacher Man,180.061,0.538,0.404,0.43,0.0,0.0802,-12.327,0.641
Tiny Dancer,145.075,0.382,0.414,0.428,0.000243,0.148,-11.097,0.282
A Horse with No Name,123.179,0.686,0.654,0.506,0.0155,0.155,-17.18,0.831
Sultans Of Swing,148.174,0.0614,0.733,0.794,0.0367,0.33,-10.023,0.931
Ain't No Mountain High Enough,129.991,0.43,0.663,0.6,0.0,0.184,-10.87,0.8
Band On The Run - Remastered 2010,124.966,0.0832,0.479,0.601,0.00142,0.11,-8.806,0.669
"Rocket Man (I Think It's Going To Be A Long, Long Time)",136.571,0.432,0.601,0.532,6.25e-06,0.0925,-9.119,0.341
Nothing Compares 2 U,124.02,0.0952,0.519,0.563,7.02e-05,0.0895,-5.04,0.345
Somethin' Stupid,207.356,0.736,0.257,0.338,0.0,0.252,-12.902,0.544
Suspicious Minds,116.557,0.0422,0.487,0.382,4.74e-06,0.411,-10.889,0.714
Albatross,67.168,0.804,0.468,0.105,0.874,0.109,-16.289,0.25
Wouldn't It Be Nice - Remastered 2000 / Stereo Mix,124.511,0.718,0.392,0.629,3.76e-06,0.129,-7.056,0.72
Ordinary World,140.124,0.0131,0.472,0.652,1.12e-05,0.14,-10.171,0.401
Sunday Morning,105.826,0.0869,0.506,0.442,0.00239,0.0846,-13.268,0.532
Stay with Me,91.39,0.0969,0.458,0.869,0.0596,0.357,-8.381,0.813
"How Deep Is Your Love - From ""Saturday Night Fever"" Soundtrack",104.996,0.076,0.594,0.5,9.86e-05,0.184,-5.586,0.537
A Case of You,100.836,0.9,0.693,0.201,0.0,0.112,-9.903,0.679
Sunny Afternoon,124.991,0.102,0.595,0.462,0.0,0.0641,-8.414,0.526
Satellite of Love,121.861,0.442,0.458,0.502,5.51e-06,0.299,-10.186,0.571
Faith - Remastered,95.846,0.0094,0.887,0.48,3.58e-05,0.0662,-11.994,0.607
Smile,94.36,0.75,0.438,0.133,0.000553,0.123,-16.416,0.152
This Will Be Our Year,97.506,0.626,0.535,0.424,0.0,0.191,-7.491,0.539
Vincent,91.509,0.908,0.419,0.085,5.33e-06,0.34,-19.387,0.458
Father And Son,136.243,0.541,0.495,0.326,8.85e-05,0.0996,-12.29,0.371
(You Make Me Feel Like) A Natural Woman,110.89,0.679,0.603,0.271,0.0,0.141,-10.083,0.405
"Mrs. Robinson - From ""The Graduate"" Soundtrack",92.033,0.713,0.606,0.457,2.53e-05,0.0747,-14.035,0.813
The Weight - Remastered 2000,143.868,0.373,0.63,0.551,5.75e-05,0.103,-9.28,0.518
I'll Take You There,101.646,0.0908,0.847,0.636,3.95e-06,0.0846,-7.016,0.766
Under Pressure - Remastered 2011,113.805,0.429,0.671,0.712,0.0,0.103,-7.815,0.462
